,0,1,2
0,854,146,0
1,882,118,0
2,905,95,0
3,894,106,0
4,905,95,0
5,907,93,0
6,876,124,0
7,897,102,1
8,913,87,0
9,927,73,0
10,904,94,2
11,904,95,1
12,905,94,1
13,918,82,0
14,926,73,1
15,922,77,1
16,934,66,0
17,934,66,0
18,937,63,0
19,938,62,0
20,929,70,1
21,928,72,0
22,928,72,0
23,910,89,1
24,937,62,1
25,934,66,0
26,914,86,0
27,930,70,0
28,929,71,0
29,924,76,0
30,928,71,1
31,929,71,0
32,933,67,0
33,923,77,0
34,914,86,0
35,923,77,0
36,931,69,0
37,916,84,0
38,906,94,0
39,935,65,0
40,924,76,0
41,931,69,0
42,948,52,0
43,926,74,0
44,928,72,0
45,913,87,0
46,925,75,0
47,932,68,0
48,933,66,1
49,924,76,0
