,0,1,2
0,778,221,1
1,840,160,0
2,848,152,0
3,850,149,1
4,857,143,0
5,885,115,0
6,885,115,0
7,882,118,0
8,894,106,0
9,913,87,0
10,897,103,0
11,902,98,0
12,901,99,0
13,885,115,0
14,883,117,0
15,896,103,1
16,895,105,0
17,910,90,0
18,893,107,0
19,908,92,0
20,906,94,0
21,900,100,0
22,890,110,0
23,878,122,0
24,885,115,0
25,899,101,0
26,890,110,0
27,905,95,0
28,902,97,1
29,907,92,1
30,903,97,0
31,910,90,0
32,908,92,0
33,912,88,0
34,917,83,0
35,919,81,0
36,924,76,0
37,917,83,0
38,923,77,0
39,930,70,0
40,921,79,0
41,930,70,0
42,930,70,0
43,920,80,0
44,923,77,0
45,918,82,0
46,915,85,0
47,924,76,0
48,930,70,0
49,923,77,0
